Lyrics,Song,Artist,Genre,Composition
"Behind The Door
 
Behind The Door
Behind The Door
 
december? 
she made YOU passing the sill 
and closed the door - behind you 
it's hard to believe what you see...
everything and nothing 
cannot describe with words 
words of pain - or words of hope...
Behind The Door
 
you feel bashed and adored by your own creation 
that is now laughing about you 
about your will to live - and your will to die!
Behind The Door
 
you missed the point! 
did not see that you brought her into being 
being...being what? 
what you can't realize...
but now YOU passed her sill 
and will never understand!


  Essa informação está errada? Nos avise. ",Behind The Door,Pzychobitch,,Composição: Pzychobitch. 
"Be Someone
 
Be Someone
Be Someone
 
you reached the day of your discord 
and cannot understand 
but day will come - day will come 
you will afford 
to be someone - be someone
Be Someone
 
Du hast den Traum mit mir geteilt 
für kurze Zeit - bereit 
Kontrollverlust, jetzt sieh Dich an - sieh Dich an 
am Start vorbei - das Licht zerbricht 
in diesem Bann - diesem Bann - diesem Bann
Be Someone
 
ich weiß, dass ich das Spiel verlier 
zu viel von mir - in Dir 
Menschenmassen, doch so leer - doch so leer 
der Körper will - das Hirn setzt aus 
nun gib mir mehr - gib mir mehr - gib mir mehr
Be Someone
 
gefesselt als der Würfel fiel 
siehst Du ein Ziel - im Spiel 
Entscheidungsmacht in Deiner Hand - Deiner Hand 
geh nicht zu schnell - eventuell 
hat es Dich erkannt - Dich erkannt - Dich erkannt
Be Someone
 
zum Zeitvertreib bist Du nicht hier 
zu viel von Dir - in mir 
ich lass mich führen, hab Vertrauen - hab Vertrauen 
es ist soweit - wenn ich es will 
in Zeit und Raum - Zeit und Raum - Zeit und Raum
Be Someone
 
you reached the day of your discord 
and cannot understand 
but day will come - day will come 
you will afford 
to be someone - be someone


  ",Be Someone,Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Big Lover (Short-Cut)
 
believe me - you never really understood 
said you wanna be lover - but you never really could 
never wanna look around - never listen to the sound 
thought you were a winner of your own transaction 
satisfaction - you need - hate you tomorrow and love you today 
no reason to turn away 
even not to sulk, you always used to be a baby in your head 
didn't hear what I said
dominated things and girls you thought you left behind 
back in your mind 
no reason to sulk, you always used to be a baby in your head 
didn't hear what I said
Big Lover (Short-Cut)
 
dance now - to the sound - hear what I say 
this dance will heal the open wound 
don't try to steal away
you never really understood 
said you wanna be a lover - but you never really could 
you big big lover - big big lover!
Big Lover (Short-Cut)
 
why can you do that to me? -to my melody? 
you see it's not easy to see what's inside of me
you take every breath in your life 
(to) become a lover - big big lover 
you take every breath in my life 
(to) become a lover - big big lover 
why can you do that to me? - to my melody? 
you big big lover - big big lover!
Big Lover (Short-Cut)
 
what is your reason to try (to) get them with a lie 
you lied and you never subside 
demonstrate your might 
you take every breath in your life 
(to) become a lover - big big lover 
you take every breath in my life 
(to) become a lover - big big lover 
why can you do that to me? - to my melody? 
you big big lover - big big lover


  ",Big Lover (Short-Cut),Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Breakdown
 
Breakdown
Breakdown
 
you always tried so hard - but i could forget you all the same 
your concept never happened of love 
it's your manner that betrayed you - and your god above
Breakdown
 
mistrust - the chain between us 
i'm not in your head, you're not in mine
it's heavy-handed - to the baseline - to the baseline - to the baseline
Breakdown
 
now -you lie on the floor 
the ceiling's coming down
but even can't break the door
this - is your breakdown 
have you ever felt like falling 
onto your own?
Breakdown
 
now - see the timeline 
it's going underground
but it's your turn to combine
you - say you guard me 
but i've used the time to learn
and now i can see
Breakdown
 
mitrust - the chain between us 
i'm not in your head, you're not in mine
it's heavy-handed - to the baseline - to the baseline - to the baseline
Breakdown
 
cause you don't know
that you need row 
sow your wild oats 
your manner is - beyond the pale 
beyond the pale....beyond the baseline!


  Essa informação está errada? Nos avise. ",Breakdown,Pzychobitch,,Composição: Pzychobitch. 
"Caress
 
caress - but he don't see
my occasion being sweet for him like candy 
caress - it's a heartbreak-man
achiever - in me
Caress
 
it's a gentleman - feet to his hairtips
don't tell me - cause these are my own risks
let me learn - it on myself 
achiever - in me
Caress
 
caress - please don't break in
he's one of my favourite-men
caress - there's no better feel
achiever - in me
Caress
 
want him not to stop - no never 
if i'm a pot he must be the cover
caress - only thing I need 
achiever - in me
Caress
 
he's like Robbie Williams but even stronger
feel him inside feels like a banger 
makes me cheeky - and reeling down 
achiever - in me
Caress
 
ich kann nichts anderes denken, die Welt zerbricht in mir 
vergangenheit und zukunft erfüllt von lust und gier 
ich will nicht, daß du da bist - hast mich in deiner hand 
nicht lang und du hast mich genau erkannt
Caress
 
achiever in me - got my flesh and blood 
now it can be - i thank god! 
achiever in me - it's a super hot
achiever - in me
Caress
 
do you have a lighter 
or have a boyfriend 
this words don't promise your achievement
it's a lover - only thing i need
achiever - in me


  Essa informação está errada? Nos avise. ",Caress,Pzychobitch,,Composição: Pzychobitch. 
"Cold Comfort
 
it seemed like it will be 
a never ending time 
got me not pleased a lot 
but made me fiercely cry 
made me think bout the last
time you were by my side 
i felt safe so warm and mild
Cold Comfort
 
but the time flies away 
we had to rearrange 
winning time, find the twine 
and find the way to stage 
it is what we call to quell 
this feelings bout this song
but after all it is my cold comfort
Cold Comfort
 
nothing else took my heart 
than writing down the miss 
made me deal with what i feel 
no matter more or less 
made me think bout the last
time you were by my side 
so this is my cold comfort
Cold Comfort
 
cold comfort... to you
Cold Comfort
 
this is my cold comfort 
for you not coming back
Cold Comfort
 
two years - long ago - you by my side 
but early had to go - my heart is tired 
out of sight - not out of my mind 
out of sight - but ever there


  ",Cold Comfort,Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Come Back 2
 
Come Back 2
Come Back 2
 
the way through the forest 
the aim in my head 
an unexpected guest 
that i wish i was dead
Come Back 2
 
go back to the forest 
i can't come with you
soon i can't remember
what i really do, really do...
Come Back 2
 
she's waiting with sugar
i run for my life 
run full of faith 
just seeing the knife
Come Back 2
 
you missed your chances 
play this game yourself 
soon i can't remember
what i do to myself, do to myself...
Come Back 2
 
you have to go - just half the way 
so take the chance and leave the day 
running faster - full of faith 
running faster - full of faith 
running faster - full of faith 
come back! come back! come back!


  ",Come Back 2,Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Day After
 
Day After
Day After
 
was hast Du mir schon gegeben? ein neues Leben! 
ist es Wahrheit oder Einsamkeit 
Du erwachst bist alles leid 
hast 1000 Träume auf Deinem Gewissen - zerrissen 
die Vergangenheit ist das das was dir bleibt...
Day After
 
tauschst Seelen gegen Freundschaft ein 
doch willst der Erste sein  
Du weißt, daß Menschen mich verstehen 
die nicht mehr mit dir ziehen 
es schien als fände ich mein Glück 
doch lass mich nicht von Dir zerstören 
ich bin zurück!!!
Day After
 
Du machst Dich groß 
belebst dein Leben anstandslos 
doch makellos  
lässt grundlos andere Träume  
in Deiner Nähe mittellos 
es ist vorbei 
das mein ich ganz allgemein 
steigt dir das Badewasser zu Kopf 
wird bald niemand bei dir sein!
Day After
 
dies in Deinem Sinne 
ich hab mich (von Dir) befreit 
was ist Leben in Aufrichtigkeit? 
dieses hier in Deinem Sinne 
Lug und Trug 
was Dir bleibt ist (doch) genug
Day After
 
Du hast mich angelogen!


  Essa informação está errada? Nos avise. ",Day After,Pzychobitch,,Composição: Pzychobitch. 
"Door To December
 
The saturday evening pass into Sunday morning 
You lie on the ground of the bathroom, cowered like an embryo. 
In your black dress you look like a dirty puddle on this glaring white floor. 
You never really knew what you had done. 
Was not able to realize. 
But you love it! 
It was your inner wish to enter this world. 
To learn what others cannot see. 
But is it what you wanted to see? 
Destruction of this little soul? 
You forced her become a murderer, doesn't like herself.
Frightened about opening the door. 
The door to december! 
Door To December
 
Now you lie on the ground of the bathroom, cowered like an embryo. 
Frightened about your own creation. 
Your way of life 
In your black dress you look like a dirty puddle on the glaring white floor. 
Waiting until she comes back, to let you know about your might. 
About the might of december!


  Essa informação está errada? Nos avise. ",Door To December,Pzychobitch,,Composição: Sina. 
"Eden 2
 
Eden 2
Eden 2
 
tell me where the water flows 
where the sun is raining 
is there any place to go 
any place for me? 
nothing´s here to fly away 
i´m running out of time 
a helping hand becomes a gun - a loaded gun 
but tell me where is eden
Eden 2
 
too many ways in my head 
cannot find the truth - cannot find the truth 
there are so many ways - too many ways 
never find the aim 
never find the aim 
never find the aim 
when does it begin - it begin - it begin
Eden 2
 
i tell you where the water flows 
where the sun is raining 
come to this place to realise 
that eden is too far 
nothing´s here to fly away 
you´re running out of time 
a helping hand becomes a gun - a loaded gun 
show me you private eden
Eden 2
 
too many heads on my way 
never going back - never going back 
there are so many heads - too many heads 
cannot be enough 
cannot be enough 
cannot be enough 
when does it begin - it begin - it begin
Eden 2
 
die Zeit wird immer weitergehn 
lass mich nicht allein hier stehen 
es bleibt uns nicht mehr lange Zeit 
bis wir die Ewigkeit von hinten sehen!


  ",Eden 2,Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Ego
 
Ego
Ego
 
i didn't take my point - but it's quite plain to me
it makes me take my choice and it makes me wanna scream 
it's no kind of revenge - and really not a spree
i have take my choice and have to know the need in deed 
Ego
 
but it's too complicated - i can't show what could be real
it's an impasse and i hate it - but it makes wanna feel
i wanna take it down - the most hard way to me 
but cannot wait until there is no need for it to be
Ego
 
scream - to the world inside 
it's something special in my inner pride
Ego
 
but where am I?
Ego
 
where am i in this crying game 
what i feel what i want is not to defame 
i hate to see this barfaced lie 
the more you ask for by and by 
where - am - i - ? 
where am i?


  Essa informação está errada? Nos avise. ",Ego,Pzychobitch,,Composição: Pzychobitch. 
"Electrolicious
 
Electro- 
Licious 
Electrolicious, electrolicious 
Electrolicious, electrolicious 
Electrolicious, electrolicious 
Electrolicious, electrolicious
Electrolicious
 
4x 
It is electric 
It's fantastic
It's automatic
It is electrolicious
Electrolicious
 
Electrolicious, electrolicious 
Electrolicious, electrolicious
Electrolicious
 
It ain't?
It is! 
We're passionate
Suckin' in the beat
Feel what's to create
Nothing left half-finished 
Nothing left half-finished
Electrolicious
 
Electrolicious 
Uuuhuh 
Electrolicious 
Aaahah 
Electrolicious 
Uuuhuh 
Electrolicious 
Aaahah
Electrolicious
 
It ain't?
It is! 
We're passionate
Suckin' in the beat
Feel what's to create
Nothing left half-finished 
Nothing left half-finished
Electrolicious
 
Electrolicious 
Uuuhuh 
Electrolicious 
Aaahah 
Electrolicious 
Uuuhuh 
Electrolicious
Electrolicious
 
4x 
It is electric 
It's fantastic
It's automatic
It is electrolicious
Electrolicious
 
It ain't?
It is! 
We're passionate
Suckin' in the beat
Feel what's to create
Nothing left half-finished 
Uuuhuh 
Nothing left half-finished 
Aaahah
Electrolicious
 
It is electric 
It's fantastic
It's automatic
Aaahah 
It is electric 
It's fantastic
It's automatic
Uuuhuh
Electrolicious
 
Aaahah


  Essa informação está errada? Nos avise. ",Electrolicious,Pzychobitch,,Composição: Pzychobitch. 
"Eyes Off!
 
i just wanna tell you this: 
things don't happen in the world for bliss
get your eyes off 
let the sun go down 
any part of it leaves you movin' around
get your eyes off!
Eyes Off!
 
let your mind work for you 
don't let the sky dream your life
every day from nine to five 
every day from nine to five 
you think your life's..
you think your life's a lie
get your eyes off don't let your mind behind!
Eyes Off!
 
there's many more
left in pieces 
to assemble something that you are 
it's not too far
it's not too far away
it's what you are
it doesn't matter - all from 9 to 5
get your eyes off!
Eyes Off!
 
so close your eyes 
to see what you wanna be: 
a part of the society
Eyes Off!
 
is it a dream you dream 
or really what it seems?
Eyes Off!
 
looking outdoors 
see people walking down the street 
watching your dream of life 
and time goes by
Eyes Off!
 
looking outdoors 
see people watching you dream 
every day the time goes by 
get your eyes off


  Essa informação está errada? Nos avise. ",Eyes Off!,Pzychobitch,,Composição: Pzychobitch. 
"Face In Your Hand
 
Face In Your Hand
Face In Your Hand
 
with your face in my hand 
i can feel your fear 
and I still want to be 
the face in your hand 
in your hand
Face In Your Hand
 
(what kind of heart this might be, 
strong enough to face all those who failed, 
and shold be able to forgive them 
FÜR DIE EWIGKEIT.)
Face In Your Hand
 
with your hand on my face 
i can feel your fear 
and I pretend not to care 
your hand on my face in your hand...
Face In Your Hand
 
With your hand on my face 
cold and crystal clear 
but I still want it there 
your hand on my face - in your hand
Face In Your Hand
 
and i'm seeing myself in someone elses shoes
nicht genug für die Welt was Du lässt und was Du tust 
nothing left to receide - you know the way is hard 
ich wär so gern das Gesicht in Deiner Hand 
in your hand...
Face In Your Hand
 
(and there could be no grader 
force that has the power to melt the ice 
and makes it beating once again 
FÜR EIN LETZTES MAL.)
Face In Your Hand
 
with your hand on my face 
what difference does it make 
my longing to fullfill for your hand 
on my face in your hand
Face In Your Hand
 
with your hand on my face 
nothings left to take 
and nothing ever will 
just your hand on my face in your hand...
Face In Your Hand
 
and it´s leading me out to somebody new 
die Erinnerung schmerzt, sie läßt mir keine Ruh 
and this way would be hard, I should have seen it before 
an dem Tag, als ich die Schlacht verlor.


  ",Face In Your Hand,Pzychobitch,,Sabe de quem é a composição? Envie pra gente.
"Fitter Than You
 
Fitter Than You
Fitter Than You
 
create a war of anger 
try to reach me with your weapons 
nothing will get through
Fitter Than You
 
come create yourself with a new mechanic 
let your engine grow - faster
Fitter Than You
 
i meet you at the frontier tonight 
so you wanna do it 
yeah i wanna do it 
let's fight
you and me will split to a couple of steel 
i can see your eyes with a devil's grin
survival in the age of the fittest 
get ready for your last breath 
cause i would have no mercy 
weakness is a state of mind 
so what's in yours?
what will i find?
Fitter Than You
 
the old attraction in power games 
did we ever learn anything else? 
is it just a game? or a must?
Fitter Than You
 
wild animals used to hunt us millions of years ago 
we had no chance, we had to eat with their left for us 
we pray to them, we killed to please them 
we feared them, we turned into them to kill
Fitter Than You
 
like now - blood for life 
rituals - blood for life 
victims - and god was created
Fitter Than You
 
the sun looked at us like a goddess 
we fell on our knees inside of beauty 
we fell so small and lived in fear 
dangers on whereever we were
Fitter Than You
 
the animals were pure power 
we had to be like them - stronger - better 
fire -weapons - to the last day on earth 
but - there will always be - fear
Fitter Than You
 
someone's always fitter than you
fitter than you
Fitter Than You
 
little soldiers full of fear 
so come and fight me - if this is your mission


  Essa informação está errada? Nos avise. ",Fitter Than You,Pzychobitch,,Composição: Pzychobitch. 
